Song_Name,Artist,Duration,Duration_Seconds,Genres,Genre
Grow Old Die Young,ONE OK ROCK,3:26,206,Rock,Rock
Westfalia,François Lachance,3:24,204,Francophone pop,Pop
Papillon,Jackson Wang,3:15,195,Pop / Hip-Hop,Pop
That’s What I Like,Bruno Mars,3:26,206,R&B / Pop,R&B
Soft Spot,Keshi,3:24,204,R&B,R&B
Best Part,"Daniel Caesar, H.E.R.",3:29,209,R&B,R&B
Wishing Well,Juice WRLD,3:15,195,Hip-hop,HipHop
Weightless,Marconi Union,8:00,480,Ambient / Electronic,Other
By Your Side,Crush,3:50,230,Pop,Pop
The Voice in My Heart,Evan Call,2:18,138,Symphony,Classical
Cruel Summer,Taylor Swift,2:58,178,Pop,Pop
My Only,Khalil Fong,4:48,288,R&B,R&B
Nod-Krai,"HOYO-MiX, AURORA",4:21,261,Nordic Folk / OST,Other
One Dance,"Drake, Wizkid, Kyla",2:54,174,Pop / Hip-hop,Pop
My House,Flo Rida,3:12,192,Pop rap / Dance pop,Pop
Arizona,Carter Vail,2:29,149,Indie Pop,Indie
Feel Special,TWICE,3:26,206,K-pop,Pop
Fate of Ophelia,Taylor Swift,3:00,180,Pop,Pop
Lagtrain,Inabakumori,4:12,252,Vocaloid / J-Pop / Pop rock,Pop
Every Summertime,NIKI,3:35,215,Pop,Pop
End Of An Era,Dua Lipa,3:16,196,Pop,Pop
Drive Thru,"Ivoris, r.em.edy",3:13,193,Indie Pop,Indie
nobody else,LANY,3:58,238,Pop / Indie Pop,Indie
Good Days,SZA,4:39,279,R&B,R&B
Color Your Night,"Lotus Juice, Azumi Takahashi",3:47,227,Jazzrap,Other
The Fate of Ophelia,Taylor Swift,3:58,238,Pop,Pop
chemtrails over the country club,Lana Del Rey,5:41,341,Country,Other
Mendung Tanpo Udan,Ndarboy Genk,2:30,150,Koplo (Javanese Pop),Pop
Vienna,Billy Joel,3:34,214,Soft rock,Rock
The Leviathan Trilogy,DM Dokuro,9:23,563,Rock,Rock
Easy on Me,Adele,3:44,224,Pop ballad,Pop
Diamonds,Rihanna,3:45,225,Pop,Pop
Sunflower,"Post Malone, Swae Lee",2:40,160,Hip-hop,HipHop
?????????? (Kizuna Music),Poppin'Party,5:14,314,J-pop,Pop
Ref:rain,Aimer,5:15,315,J-pop,Pop
Full Moon Full Life,"Azumi Takahashi, Lotus Juice",4:43,283,J-Rock / Pop Rock / J-Pop,Rock
La Mentira,Luis Miguel,3:47,227,Bolero,Other
Jimi from Haijishan,Haijishan,1:40,100,Remix,Other
Sunflower,"Post Malone, Swae Lee",2:38,158,Hip-Hop / Pop,HipHop
december blues,"leo., Chevy",3:44,224,City Pop / Indie Folk,Indie
See You Again,"Wiz Khalifa, Charlie Puth",3:49,229,Hip-Hop,HipHop
"????????? (August, A Certain Place, Moonlight)",???? (Yorushika),4:36,276,J-Rock / J-Pop,Pop
I'm Still Standing,Elton John,3:02,182,Pop,Pop
One,Metallica,7:26,446,Metal,Other
theDOGS,???? (Hiroyuki Sawano),4:35,275,Pop,Pop
"a hermit's requiem, and lies we tell ourselves",jibral,3:38,218,Rock,Rock
Shine On You Crazy Diamond,Pink Floyd,13:23,803,Progressive Rock,Rock
Over,R2Bees,3:50,230,Afrobeats,Other
High Hopes,Panic! at the Disco,3:17,197,Pop / Pop Rock,Rock
??? (Sashiiro),Bialystocks,3:05,185,J-Pop,Pop
???? (Regular Friends),David Tao,4:12,252,R&B,R&B
Mystery of Love,Sufjan Stevens,4:08,248,Indie Folk / Chamber Folk,Other
Melody,David Tao,4:29,269,R&B / Soul,R&B
I Don't Want to Miss a Thing,Aerosmith,4:57,297,Rock,Rock
"John, Take Me With You",JW Francis,3:29,209,Indie Pop,Indie
Lovely Day,Bill Withers,3:20,200,R&B / Soul,R&B
Ayonha,Hamid Al Shaeri,3:39,219,Al Jeel,Other
Madai Thiranthu (Remastered 2023),Yogi B,5:42,342,Hip-Hop,HipHop
world without words,Nujabes,6:14,374,Jazz Hip-Hop,HipHop
Cheers to Youth,SEVENTEEN,3:11,191,K-Pop,Pop
Life Goes On,BTS,3:27,207,K-Pop,Pop
